scenario_id,class_name,fault_family,faulted_phases,fault_enabled,fault_type_code,class_repeat_index,split,seed,operating_domain_id,is_ood,fault_location_pu,fault_resistance_ohm,ground_resistance_ohm,fault_inception_angle_deg,fault_inception_s,fault_clearing_s,line_length_km,line_r1_multiplier,line_r0_multiplier,line_l1_multiplier,line_l0_multiplier,line_c1_multiplier,line_c0_multiplier,load_apparent_power_va,load_power_factor,source_short_circuit_mva,source_x_over_r,voltage_snr_db,current_snr_db,colored_noise_alpha,gain_error_std_pct,phase_error_std_deg,harmonic_thd_pct,adc_bits,sample_jitter_std_us,dropout_probability,ct_saturation_pu
stage4_006324,CA,LL,CA,1,6,324,train,20267230,4,0,0.779415243387355,2.03481931766794,5.45321827360931,88.7236884916756,0.0941075781709109,0.155602191002828,87.2867298568091,1.00729763732092,1.28763011189939,1.0023474648649,1.09097094261305,1.04683667817888,0.965231232863121,100339307.19884,0.923621720778971,7736.21864913074,8.19150773253043,54.4394166057343,35.3147018394307,0.468026286376005,0.313545931764178,0.188714281202394,3.43170784395044,14,0.443089110811017,0.000182157427000477,7.6653856673914
stage4_000708,Healthy,none,,0,0,708,train,20261614,8,0,0.224067451535395,0.105931711945316,0.0379086993550744,221.712239144711,0.100264455515959,0.15168298468579,112.47863556946,0.879117494120678,1.47416682919599,1.03777977535662,0.801450496809443,1.04801708631235,0.974986633968708,76470933.632628,0.946901235275648,2340.56017752076,8.50052375872523,40.313561080705,40.5305929220255,0.136910122527274,0.376123870671144,0.0741359380879054,0.978472553287135,15,0.187876419133664,3.47440238600016e-05,7.64643832048266
stage4_003544,CG,LG,C,1,3,544,train,20264450,4,0,0.138871710562648,0.206657531055778,0.0351823418069232,78.940527777152,0.093654654063757,0.147912703048038,87.2867298568091,1.00729763732092,1.28763011189939,1.0023474648649,1.09097094261305,1.04683667817888,0.965231232863121,100339307.19884,0.923621720778971,7736.21864913074,8.19150773253043,54.4394166057343,35.3147018394307,0.468026286376005,0.313545931764178,0.188714281202394,3.43170784395044,14,0.443089110811017,0.000182157427000477,7.6653856673914
stage4_002495,BG,LG,B,1,2,495,validation,20263401,15,0,0.197470955926468,0.0214265845222817,0.027784146325387,273.113717182774,0.102644153573277,0.157774572042346,96.8958091964046,1.11310085780914,0.906847229302909,1.07604552700922,0.921051946627164,1.011815206098,0.867484248105144,137899578.054043,0.867209782433575,5758.02810855695,5.89071401982218,55.314272310457,45.2821934292831,0.411818985439469,0.370903040853492,0.205237116428943,2.16520325876901,15,0.169190401584769,8.33133289610821e-05,9.69319057532217
stage4_004132,AB,LL,AB,1,4,132,train,20265038,12,0,0.955668617141465,75.6858283561871,0.0255580763495661,41.0079821773797,0.0918985176933972,0.150721524317291,73.7540513040863,0.846202854782818,1.13156112529124,1.02148886511567,0.80830798148878,1.03478663568483,0.907875896396458,89124145.7404734,0.873220109096008,8400.40935135215,5.50677167592301,53.1839150411843,45.2694650455668,0.0894598670691014,0.332085656392277,0.186903579140239,2.39477004131263,15,0.313977906514393,4.96578774253103e-06,6.81692095527153
stage4_006704,CA,LL,CA,1,6,704,train,20267610,4,0,0.127795166541776,1.81482770123889,0.048724318299951,127.193209547534,0.0958885745160896,0.143713318250455,87.2867298568091,1.00729763732092,1.28763011189939,1.0023474648649,1.09097094261305,1.04683667817888,0.965231232863121,100339307.19884,0.923621720778971,7736.21864913074,8.19150773253043,54.4394166057343,35.3147018394307,0.468026286376005,0.313545931764178,0.188714281202394,3.43170784395044,14,0.443089110811017,0.000182157427000477,7.6653856673914
stage4_010305,ABC,LLL,ABC,1,10,305,train,20271211,5,0,0.453210235717632,0.0706262521660412,1.41115518194505,7.03387624448201,0.090325642418726,0.142459900936931,101.819643915202,1.18818877330846,0.707646039355026,1.05022427504971,0.812106294507956,0.996898918306442,0.862407281123718,79496628.9518649,0.949252463438132,4399.8404977473,7.9186037752886,44.5114457172315,36.3737068096501,0.65106660543862,0.412200471194865,0.20896854111629,2.57087424041093,13,0.162856923562533,0.000199116691030241,6.32049012069499
stage4_005195,BC,LL,BC,1,5,195,validation,20266101,15,0,0.344664168699135,0.311260490211445,0.299693031322741,175.968039145763,0.0981466684789705,0.146229564055771,96.8958091964046,1.11310085780914,0.906847229302909,1.07604552700922,0.921051946627164,1.011815206098,0.867484248105144,137899578.054043,0.867209782433575,5758.02810855695,5.89071401982218,55.314272310457,45.2821934292831,0.411818985439469,0.370903040853492,0.205237116428943,2.16520325876901,15,0.169190401584769,8.33133289610821e-05,9.69319057532217
stage4_001615,AG,LG,A,1,1,615,validation,20262521,15,0,0.454025289592324,0.0405359298438691,14.191642199109,19.0747971768809,0.0908830924618926,0.150410665294776,96.8958091964046,1.11310085780914,0.906847229302909,1.07604552700922,0.921051946627164,1.011815206098,0.867484248105144,137899578.054043,0.867209782433575,5758.02810855695,5.89071401982218,55.314272310457,45.2821934292831,0.411818985439469,0.370903040853492,0.205237116428943,2.16520325876901,15,0.169190401584769,8.33133289610821e-05,9.69319057532217
stage4_003546,CG,LG,C,1,3,546,train,20264452,6,0,0.135009211698721,3.73898927174737,70.1619506868834,197.961619002051,0.0991648897686135,0.163577001878488,95.9103703141261,0.816602897630248,1.47128557122939,1.06821810444213,1.13076524856616,0.994861596229171,0.894178659041095,139077631.765327,0.945514984215437,2659.48737621496,17.4513738783992,40.4470944144513,44.0283610513878,0.670938600164914,0.435947076053974,0.246589897760841,2.81035999486025,16,0.481442178952331,7.93224929666855e-05,7.03250552169567
stage4_010949,ABC,LLL,ABC,1,10,949,train,20271855,9,0,0.5159086015908,12.9188639483672,39.6253036677366,244.581438183659,0.101323214730725,0.162816298414188,94.5102892469635,1.28709174721172,1.22420067026554,1.03150803920375,0.933553731751178,1.06495764739652,0.923918640552898,147482507.526887,0.8626530305202,4258.01323465634,18.594229516414,41.1988944523048,45.1556042878493,0.448700765579275,0.406454617911247,0.136989180391548,0.527974931013321,15,0.0793242230666917,1.25919742235112e-05,9.24900530569959
stage4_010034,ABC,LLL,ABC,1,10,34,validation,20270940,14,0,0.108495996680811,97.8090593749585,15.8750218825141,143.101928741536,0.0966250892935896,0.158621103461466,103.958014842121,0.95709964464218,1.16539012237516,0.996599823404653,0.800433106135435,1.01256212874639,0.922196484082722,79996255.0281202,0.915158346686297,6094.55224308835,17.1847931123087,59.6763861551469,38.2196108143786,0.235010981411282,0.364865186240166,0.155045866305312,3.01986706418363,13,0.328711736869037,6.03781568360356e-05,6.38138291699375
stage4_002561,BG,LG,B,1,2,561,train,20263467,1,0,0.215315131691094,0.20531313154961,1.62081554129591,222.3353756835,0.100293304429792,0.148789362578354,115.963205335704,1.30800584597899,1.33521429095585,1.04636656212901,1.11395087474988,1.03954989361366,0.969552492139403,81789159.9043296,0.900131310154833,8045.60328187174,11.6285265532555,40.2363693994793,41.7314214589349,0.520753434309322,0.0527318934945685,0.226712695361449,3.37051607241759,14,0.266478904391081,0.000169599875478468,8.10565977569555
stage4_010232,ABC,LLL,ABC,1,10,232,train,20271138,12,0,0.893569078490477,0.141027713579487,0.669695394758652,67.3699087601066,0.0931189772574123,0.139137107781563,73.7540513040863,0.846202854782818,1.13156112529124,1.02148886511567,0.80830798148878,1.03478663568483,0.907875896396458,89124145.7404734,0.873220109096008,8400.40935135215,5.50677167592301,53.1839150411843,45.2694650455668,0.0894598670691014,0.332085656392277,0.186903579140239,2.39477004131263,15,0.313977906514393,4.96578774253103e-06,6.81692095527153
